	CD_MemberList	frac_d1_seeds	frac_d2_seeds
C1172	LRPAP1 POLA2 PBXIP1 DDB2	0.75	0.5
C1122	CDC42EP3 WNT5B FAM153B KPNA3 SETD2 KDM8 SPACA4 PRR11 PLEKHG4B CASS4 POMC PLAUR UNC80 AFAP1 CPZ GLI4 QSOX2 HDAC8 TYW5 ARHGAP26 PTH1R LIMA1 CDH2 DCBLD2 GLIS2 OVOL1 LYPD3 PHLDB2 NAALADL1 CFL1 SNX18 PBLD HIRA CELSR3 HCN2 CNTLN STARD13 LMAN2L NR3C2 NFE2 SLC8A2 FBLN2 DOK3 ZSWIM6 SPINK6 LRRC2 ANK1 PELI3 CDC42BPG KDM4C INSR ARHGEF17 EIF2AK2 TMEM241 ITIH3 GLI2 ZRANB1 ZNF639 ENKUR TEX101 DOK2 PXT1 SOST ANGPTL4 ELF2 SNX32 DAPK3 APOC2 KDM7A RIPK1 PRSS50 ATF5 UQCC3 TMEFF1 KAT6A PCSK6 KBTBD4 ZBTB2 ZNF521 CDC42EP2 OTUD6A CDC42EP1 PRDM2 MFAP2 PHF2 SNX9 ARHGEF15 ANKRD50 CDCA5 RXFP2 SOCS2 DOK7 FURIN NPC1 OXSR1 LMCD1 ART4 SETD7 ROCK2 STOX1 KDM2A PPDPFL CCDC170 PLEKHN1 PRAF2 KDM6B LTBP4 GPIHBP1 EFEMP2 TBX2 SMARCC1 GLI3 DNM2 SYVN1 DENND1B LTBP2 RMC1 DHH PCNX1 ANGPTL3 DENND2A PARP10 LCOR APOE PSCA CCDC184 ABLIM2 PRRC2C TRPC1 ACTR1B SP2 PINLYP SEMA3F NRK CDC42SE2 DENND6A BRAF CDK17 PDLIM7 CDHR3 CD59 CACUL1 SP1 FOSL1 CARNMT1 PRPF18 FRY STK38 DOK6 COLGALT2 SNX11 LTBP3 ZFP41 N4BP2L2 CDC42SE1 SPTAN1 JMJD7 LTBP1 DOK5 CROCC APOA4 CABLES1 PSMB10 ATXN3 SNX33 ZNF827 CDC42EP4 PDS5B TBX3 NR2C2 RIPOR1 WDFY3 TAFA4 HMGB3 LYPD6 COL7A1 ATF6B DIP2B FGD5 ASIC1	0.6666666666666666	0.3333333333333333
C1123	SMARCD2 CENPB CNPY3 FBXW4 UBALD1 R3HDM4 ARHGEF18 NECAB3 OGFR WDTC1 VEGFB TOM1 MED16 ACTN4 GRK6 ARHGDIA CFL1 TMEM39B GAA ZNF768 LIMD2 SF3A2 NUMA1 PTOV1 ARHGAP35 IRF3 XPO6 RNF40 MGRN1 BTBD2 ZNF592 NCOR2 RPS6KB2 SBNO2 PPP6R2 ZNF787 CHPF2 PFKL MYO9B PLOD3 CTDNEP1 ATG2A TCIRG1 PRR14 PPP2R5B CIZ1 PYGB FKBP8 NELFB CDC34 PTPRA DAPK3 CAP1 RIPK1 RAPGEF1 ATF5 MAP2K2 AP1B1 MUS81 ATP6V0E2 LMBR1L MED15 HDAC5 PPP6R1 MAZ PLIN3 C11orf68 SIPA1 MAP4K2 CDC42EP1 RHOG EHBP1L1 TLE5 TRPC4AP MCOLN1 RPS6KA4 DDX41 SCAP PNPLA6 ZFHX3 ARAP1 FAM193A FURIN SNAPC2 PIEZO1 SCAMP4 NBEAL2 LMNB2 CLPTM1 TNIP2 PITPNM1 MEN1 SNTA1 CUL7 CUL9 NUCB1 ABHD17A DNM2 LTBP2 INPPL1 B3GAT3 TAPBP SMARCD1 ACTR1B PRRC2A RBM42 MINK1 PBXIP1 MAN2B1 TESK1 PDLIM7 FAM177A1 CLCN7 MAP3K11 MAN2C1 CAPN1 RFNG STK25 SPTAN1 PTPN23 YPEL3 SIRT7 SUPT6H CABIN1 IFFO1 RIPOR1 FAM89B MAP4 SUPT5H RAD9A ZNF358 PKN1 ARHGAP45 NPRL3 H1FX TLN1	0.5294117647058824	0.19117647058823528
C1124	PRDX3 PIH1D1 DRAP1 KAT5 MEA1 GMPPA C19orf53 ARL2 TSR3 R3HCC1 BRMS1L HIGD2A TEX264 CDK2AP2 TSSC4 TMED1 MRPL49 MRPL23 MLEC WDR83OS SPAG7 PGLS PYCR3 COX14 OTUB1 SIGMAR1 POLA2 BANF1 SMIM20 MRPL11 TIMM44 EIF3G FIBP PSMC3 RPS19BP1 ALDOA NDUFB10 TIMMDC1 ZNHIT1 TM7SF2 NDUFV1 TAF10 MRPL51 SAYSD1 DDX41 DRG2 HINT2 NTPCR COMMD7 UBL5 MTX1 BAD UQCRC1 LRPAP1 PEX11A AAMDC ARL6IP4 POLR2I FMC1 SF3B5 HOXC4 PEX16 PAFAH1B3 COMMD1 PLEKHJ1 ELP5 DHX30 FAM173A NDUFA2 FIS1 TMEM256 TBL2 CAPN1 ETHE1 SCFD2 TRAPPC2L DPM3 TMEM141 LMAN2 ZFPL1 PSMB10 CCDC12 POLD4 MVD COMMD4 MRPL43 BCS1L ROMO1 MRPL4 YIF1A	0.7	0.2222222222222222
C1129	CENPB TIGD6 ELOVL7 TMEM56 TIGD4 CERS4 TMEM136 POGK CERS5 TIGD3 FAM57A CERS1 CLN8 TIGD7 TIGD1 JRKL TLCD1 TIGD2 FAM57B CERS2	0.55	0.15
C1132	FGD3 ARHGEF19 ARHGEF17 EVPLL ARHGEF18 ARHGEF15 STARD13 FGD5 ARAP1 ARHGAP11B ARHGAP26 RHOG	0.5833333333333334	0.25
C1142	MEN1 BTBD2 CUL9 CUL7 PGLS C11orf68 TESK1 LMNB2	0.5	0.25
C1145	KAT5 UNC80 ZNF592 KPNA3 ZNF687 ZNF521 ZNF827	0.8571428571428571	0.42857142857142855
C1149	PRRC2C SMARCC1 SLC25A44 SIRT7 DHX30 GLYR1 PRR11	1.0	0.42857142857142855
C1150	SLC25A33 SLC25A44 OGFR SLC25A45 SLC25A28 SBNO2 TAPBP	0.7142857142857143	0.14285714285714285
C1125	PRRC2C KBTBD4 ZSWIM6 FAM153B SETD2 KDM8 DENND6A KDM4C PRR11 CDK17 BRAF PRDM2 CACUL1 EIF2AK2 SP1 PHF2 FRY STK38 TYW5 N4BP2L2 ARHGAP26 JMJD7 NPC1 OXSR1 ATXN3 ROCK2 SETD7 KDM2A ELF2 KDM6B NR2C2 KDM7A WDFY3 HIRA SMARCC1 PRSS50 RIPK1 PCNX1 DIP2B LCOR KAT6A	0.6585365853658537	0.3902439024390244
C1127	ABLIM2 SPINK6 PINLYP PLEKHG4B PDLIM7 FBLN2 AFAP1 MFAP2 LTBP3 ZFP41 LIMA1 LTBP1 LMCD1 PHLDB2 NAALADL1 PPDPFL CFL1 LTBP4 PRAF2 DAPK3 RIPOR1 EFEMP2 LTBP2 CPZ TMEFF1	0.76	0.4
C1128	PCSK6 SEMA3F SPACA4 CD59 PLAUR ITIH3 TEX101 FURIN CDH2 APOA4 OVOL1 LYPD3 CABLES1 ANGPTL4 APOC2 GPIHBP1 CELSR3 LYPD6 COL7A1 LMAN2L APOE PSCA ANGPTL3	0.8260869565217391	0.21739130434782608
C1159	PARP10 ACTR1B GLI4 UQCC3	0.5	0.25
C1138	CDC42EP4 CDC42EP3 CDC42BPG CASS4 CDC42SE2 CDC42EP2 CDC42SE1 CDC42EP1	0.5	0.25
C1139	INSR DOK3 DOK5 DOK2 ART4 DOK6 SOCS2 DOK7	0.75	0.375
C1141	FOSL1 DCBLD2 PXT1 ATF5 ANK1 LRRC2 ATF6B NFE2	0.625	0.375
C1144	CDHR3 TRPC1 ANK1 LRRC2 SPTAN1 ENKUR CCDC170	0.5714285714285714	0.42857142857142855
C1146	TBX3 TBX2 WNT5B GLI3 PSMB10 DHH GLI2	0.5714285714285714	0.2857142857142857
C1151	SNX18 DNM2 SNX9 SNX11 SNX33 SNX32	0.6666666666666666	0.16666666666666666
C1156	MEN1 BTBD2 CUL7 CUL9 LMNB2	0.6	0.2
C1162	TNIP2 RIPK1 TRPC4AP XPO6	0.25	0.0
C1169	CNPY3 DDX41 TMEM39B CTDNEP1	0.5	0.0
C1170	MAP4 PLIN3 CAP1 CHPF2	1.0	0.25
C1171	DAPK3 TOM1 CDC34 MCOLN1	0.5	0.25
C1147	EHBP1L1 R3HDM4 NUCB1 ABHD17A RPS6KB2 RPS6KA4 GRK6	0.5714285714285714	0.14285714285714285
C1168	CAPN1 ZFPL1 MVD TM7SF2	1.0	0.75
C1174	R3HCC1 MRPL23 AAMDC TSR3	0.75	0.0
C1126	FMC1 SPAG7 ZNHIT1 SF3B5 COMMD1 COX14 MRPL51 SAYSD1 C19orf53 NDUFA2 FIS1 TMEM256 TBL2 SCFD2 TRAPPC2L DPM3 SMIM20 HIGD2A MRPL11 HINT2 NTPCR UBL5 CCDC12 NDUFB10 RPS19BP1 MRPL43 ROMO1 TIMMDC1 WDR83OS	0.7241379310344828	0.10344827586206896
C1143	PSMC3 TMED1 COMMD4 ELP5 BCS1L COMMD7 BANF1	0.8571428571428571	0.14285714285714285
C1136	KDM6B KDM7A FAM153B PHF2 KDM2A TYW5 KDM8 KDM4C JMJD7	0.5555555555555556	0.2222222222222222
C1130	KBTBD4 ZSWIM6 SETD2 DENND6A CDK17 PRDM2 CACUL1 STK38 N4BP2L2 OXSR1 ATXN3 ROCK2 ELF2 NR2C2 WDFY3 PCNX1 DIP2B LCOR KAT6A	0.6842105263157895	0.42105263157894735
C1131	LTBP4 PRAF2 LTBP1 ABLIM2 LMCD1 EFEMP2 MFAP2 LTBP2 PINLYP LTBP3 ZFP41 NAALADL1 PPDPFL CPZ PLEKHG4B FBLN2	0.875	0.375
C1140	DAPK3 SPINK6 PDLIM7 AFAP1 PHLDB2 TMEFF1 CFL1 LIMA1	0.625	0.5
C1137	PCSK6 APOC2 GPIHBP1 APOA4 ITIH3 CABLES1 ANGPTL4 ANGPTL3 APOE	0.8888888888888888	0.1111111111111111
C1134	CD59 PLAUR CELSR3 OVOL1 LYPD6 LYPD3 SEMA3F COL7A1 SPACA4 PSCA TEX101	0.8181818181818182	0.2727272727272727
C1133	CERS1 CLN8 FAM57B ELOVL7 CERS4 TMEM136 CERS5 FAM57A CERS2 TLCD1 TMEM56	0.6363636363636364	0.18181818181818182
C1135	TIGD4 CENPB TIGD2 TIGD7 TIGD6 TIGD1 POGK TIGD3 JRKL	0.4444444444444444	0.1111111111111111
C1148	CD59 PLAUR LYPD6 LYPD3 SPACA4 PSCA TEX101	0.8571428571428571	0.0
C1154	FOSL1 PXT1 ATF5 ATF6B NFE2	0.6	0.2
C1155	EHBP1L1 NUCB1 ABHD17A RPS6KB2 RPS6KA4	0.6	0.2
C1173	SLC25A33 SLC25A45 SLC25A44 SLC25A28	0.75	0.25
C1166	HDAC5 MYEOV PRTFDC1 LOC102724428	0.5	0.25
