gene	NPS_r	NPS_h	NPS_hr	rat_seed	human_seed	node_color	subgraph
AC004691.2	1.6782169305600958	1.0097923706447085	1.694650652766365	0	0	0	PCNet
AC004754.1	-0.2383443024499288	0.3448045500216919	-0.0821821999564817	0	0	0	PCNet
AC004832.3	-0.5266565276495	-0.4229204958546892	0.2227338398186353	0	0	0	PCNet
AC004997.1	-0.3848044832685026	3.4236995072004683	-1.3174549197349033	0	0	0	Human-Only
AC005324.3	2.544386411314965	2.0380648116167848	5.185624412056941	0	0	0	Conserved
AC005324.4	0.7430189712722749	1.022690420751636	0.7598783843568906	0	0	0	PCNet
AC005520.1	-0.7376373521501977	-0.504268428146401	0.3719672281108535	0	0	0	PCNet
AC005670.2	0.2122129461296268	2.419105424868034	0.513365489209408	0	0	0	PCNet
AC005833.1	-0.4342475444595915	1.424891921643146	-0.6187558180938448	0	0	0	PCNet
AC005837.2	-0.5812883847682787	0.1714717353063639	-0.0996745280496501	0	0	0	PCNet
AC006486.1	1.3109226596726276	2.158215559621463	2.8292536815658167	0	0	0	PCNet
AC006538.2	-0.6175525605887899	3.0578612546479613	-1.8883900477330984	0	0	0	Human-Only
AC007192.1	1.6959553881629867	2.671331948127907	4.530459810999452	0	0	0	Conserved
AC008575.1	-0.0850498179766631	0.3558928606689192	-0.0302686230190855	0	0	0	PCNet
AC008764.1	-0.1373136476604919	-0.3254962521164434	0.0446950776779279	0	0	0	PCNet
AC008770.3	-0.5960043815053574	-0.3421571801128221	0.2039271785107597	0	0	0	PCNet
AC008982.1	-0.0079975153284039	-0.295083966884437	0.0023599385483245	0	0	0	PCNet
AC010132.3	-0.5600958686519676	-0.7953811102625433	0.4454896738618656	0	0	0	PCNet
AC010422.3	4.073617164232817	0.607872338180711	2.47623919047528	0	0	0	PCNet
AC010422.6	-0.6518047895119307	3.818260699033921	-2.488760611235482	0	0	0	Human-Only
AC010542.3	-0.7577163708181205	-0.4213494390345631	0.3192633677915201	0	0	0	PCNet
AC011448.1	-0.0918658900625462	0.9218781836552306	-0.0846891598707311	0	0	0	PCNet
AC011455.3	3.1353131316959257	1.1533160466494683	3.616006946055709	0	0	0	Conserved
AC011462.1	-0.8156715858895107	-0.5774320892476998	0.4709949479801648	0	0	0	PCNet
AC011473.4	-1.2650695031424417	0.1385880500123583	-0.1753235155706139	0	0	0	PCNet
AC011479.1	0.7307512793151154	0.319607373017906	0.2335534967113781	0	0	0	PCNet
AC011604.2	-0.6389591374574644	0.5553166680105046	-0.3548246592077451	0	0	0	PCNet
AC012184.2	-1.011393520715353	0.9155096784244214	-0.9259405569106562	0	0	0	PCNet
AC012254.2	-0.5168104792948408	-0.5852304894985907	0.3024532497757209	0	0	0	PCNet
AC012309.1	-0.8682062802310533	-0.9706670769112972	0.842739252187907	0	0	0	PCNet
AC013269.1	-0.3488690617690918	0.0092554605449311	-0.0032289438365509	0	0	0	PCNet
AC018523.2	0.6975822999708466	-0.4719837870078377	-0.3292475356898776	0	0	0	PCNet
AC018755.2	-0.9560890656639764	-0.1264566868219914	0.1209038555505999	0	0	0	PCNet
AC020909.1	-0.4854708094081073	-0.3026820079849254	0.1469432794097129	0	0	0	PCNet
AC020915.1	-0.0132310632933808	1.89685038074234	-0.0250973474456753	0	0	0	PCNet
AC022335.1	-0.6081658427043382	0.0903112521672019	-0.0549242187799503	0	0	0	PCNet
AC022826.2	-0.676608876114637	-0.7816021094538164	0.5288389248463762	0	0	0	PCNet
AC023055.1	-0.2922566888016916	0.3014079891555775	-0.0880885008889852	0	0	0	PCNet
AC023509.3	-0.4418003687334568	2.1594795003046485	-0.9540588395069348	0	0	0	PCNet
AC026464.1	-0.3994913569088996	-0.2329263736088703	0.0930520730528769	0	0	0	PCNet
AC026464.3	-0.3945445918364373	-0.1928805808279347	0.0760999900359324	0	0	0	PCNet
AC026464.4	-0.3398766896855891	-0.0292870406008668	0.00995398241011	0	0	0	PCNet
AC026786.1	-0.9683977467447497	-0.4529076366810817	0.4385947348454492	0	0	0	PCNet
AC034102.2	-0.6078830592946088	1.6254871682581116	-0.9881061126848716	0	0	0	PCNet
AC037459.1	-0.6171182638428587	-0.3735431297497846	0.2305202877016148	0	0	0	PCNet
AC040162.1	-0.4735355917172384	0.1785288602095891	-0.0845397694579519	0	0	0	PCNet
AC048338.1	0.2073590825405062	0.1623239014525651	0.0336593352795994	0	0	0	PCNet
AC067968.1	1.855962939650256	-0.3241066838096847	-0.6015299936437185	0	0	0	Rat-Only
AC068234.1	-0.7253057973728246	0.2506964841606497	-0.1818316133427037	0	0	0	PCNet
AC068533.4	-0.1928673478641228	2.4202943625328777	-0.4667957547522038	0	0	0	PCNet
AC068775.1	-0.3131967859321873	0.5606998869733668	-0.1756094024725991	0	0	0	PCNet
AC068775.2	-1.1024658915037626	-0.9582782709107184	1.0564691082482691	0	0	0	PCNet
AC068896.1	3.451456271112212	0.5614961524150424	1.9379794164582764	0	0	0	PCNet
AC073610.2	0.3191058205575992	1.80083514407346	0.5746569763385238	0	0	0	PCNet
AC078927.1	-0.762971310537622	0.8934678976030401	-0.6816903727574855	0	0	0	PCNet
AC090527.2	-0.5292427610251563	0.6306243905492344	-0.3337533936240833	0	0	0	PCNet
AC091167.3	-0.5784126741507671	0.7615037556369	-0.4404634236737916	0	0	0	PCNet
AC092143.1	-0.6844925806021134	1.5852792417671515	-1.0851118791721592	0	0	0	PCNet
AC092647.5	-0.3946045499233779	-0.5939984526998165	0.2343944920827939	0	0	0	PCNet
AC093155.3	3.213159919969549	1.9753917814851767	6.347249698505417	0	0	0	Conserved
AC093525.2	0.4714498567963245	0.9660104094686324	0.4554254692077454	0	0	0	PCNet
AC099329.3	-0.7215074915060137	-0.0586135155767611	0.0422900905921375	0	0	0	PCNet
AC099811.2	-0.574657297054252	-0.031328203031193	0.0180029804754722	0	0	0	PCNet
AC099850.2	-0.2102362398952104	0.2729485356456153	-0.0573836738190379	0	0	0	PCNet
AC100868.1	-0.5943284325871641	-0.3167230559714192	0.1882375174197102	0	0	0	PCNet
AC104831.1	-0.0280819959144284	-0.301303756528496	0.0084612108598351	0	0	0	PCNet
AC105001.2	2.59156151125075	3.5240630964088413	9.132826283872294	0	0	0	Conserved
AC108488.2	-0.4388901061570319	3.843337926597952	-1.686802990601922	0	0	0	Human-Only
AC110275.1	-0.6517068627140986	0.6495771706338745	-0.4233338999645031	0	0	0	PCNet
AC113554.2	-0.3932533970046794	0.6479837331732068	-0.2548218042741373	0	0	0	PCNet
AC129492.3	0.4181164874780405	0.0863174764708928	0.0360907600699781	0	0	0	PCNet
AC135050.2	0.6723482600372039	-0.3629672792796019	-0.2440404186740782	0	0	0	PCNet
AC135068.1	2.370035744310663	-0.3841312729868863	-0.9104048474864777	0	0	0	Rat-Only
AC135178.2	2.220700104536604	1.8647005719991068	4.140940755167882	0	0	0	Conserved
AC138696.1	1.6374489409946489	0.7629045840605271	1.2492173032498732	0	0	0	PCNet
AC138811.2	5.614595746336639	1.6974796509511116	9.530662027723114	0	0	0	Conserved
AC138894.1	1.577739530297044	1.0710015471528145	1.6897614779522887	0	0	0	PCNet
AC138969.1	-0.5299877512906599	0.8285101763959961	-0.4391002453095419	0	0	0	PCNet
AC139530.2	0.1975503747370978	0.5190951349218862	0.1025474384280229	0	0	0	PCNet
AC245033.1	-0.4022111242169076	0.0164911371481732	-0.0066329188119819	0	0	0	PCNet
ACAA1	3.662643154654112	0.0318954000318427	0.1168214685915833	0	0	0	Rat-Only
ACAA2	-0.923048988933318	-1.0119814415485535	0.934108446440674	0	0	0	PCNet
ACACA	-0.0776459179084987	0.0557808724414745	-0.0043311570424551	0	0	0	PCNet
ACACB	-0.5246678556227452	-0.0865991323486171	0.0454357810681392	0	0	0	PCNet
ACAD10	-0.887682278715157	-0.6360682831431139	0.5646265429989171	0	0	0	PCNet
ACAD11	-0.2080608603706576	-0.1694266184024194	0.0352510479944984	0	0	0	PCNet
ACAD8	1.5483334409191611	0.0370318993682523	0.0573377281726182	0	0	0	PCNet
ACAD9	0.0478772586831649	-0.6095188349872979	-0.0291820909349481	0	0	0	PCNet
ACADL	1.1008120718811265	-0.747004089647537	-0.82231111962858	0	0	0	PCNet
ACADM	-1.46526342216969	-1.5003632963045304	2.198427458040973	0	0	0	PCNet
ACADS	-0.1336784334294336	0.0843373941654946	-0.0112740907315639	0	0	0	PCNet
ACADSB	-0.4045818945027961	-0.6436708242493728	0.2604175615109875	0	0	0	PCNet
ACADVL	0.2440523920769015	1.473778445809773	0.3596791550912531	0	0	0	PCNet
ACAN	0.360319468655068	2.918935023457892	1.051749116691016	0	0	0	PCNet
ACAP1	-0.0905139049218281	0.7572596205911566	-0.0685425252993275	0	0	0	PCNet
ACAP2	0.2449774919219127	-0.1292701155543058	-0.0316682686889496	0	1	2	PCNet
ACAP3	-0.9179787331032976	1.8113714842224224	-1.662800500265939	0	0	0	PCNet
ACAT1	-0.5745503500377501	-1.1648738822633258	0.6692786968042268	0	0	0	PCNet
ACBD3	0.2509404408454508	-0.4823811985056129	-0.1210489506085554	0	0	0	PCNet
ACBD4	-0.8222424904951653	1.5629978516882046	-1.2851632462107023	0	0	0	PCNet
ACBD5	1.36330007617671	0.3816711005326508	0.5203322404306117	0	0	0	PCNet
ACBD6	-0.1353638199205794	-0.5893972417556788	0.0797830620947018	0	0	0	PCNet
ACBD7	-0.6005243791553505	1.000861645815847	-0.6010418184739639	0	0	0	PCNet
ACCS	0.1472019672627464	-0.242443456953156	-0.0356881538134855	0	0	0	PCNet
ACCSL	-0.7993884014562879	0.0754762645401823	-0.0603348504586682	0	0	0	PCNet
ACD	-0.6575805416708522	1.1209449179864288	-0.7371115663527049	0	0	0	PCNet
ACE	2.7308978860740334	-0.3699947029310939	-1.0104177520931144	0	1	2	Rat-Only
ACE2	1.778449137861389	0.5111135154491148	0.9089893908997818	0	0	0	PCNet
ACER1	-0.8366032806504621	0.1148725596156934	-0.0961027602312049	0	0	0	PCNet
ACER2	-0.6545586602937319	1.5231854857859743	-0.9970142509549246	0	0	0	PCNet
ACER3	-1.020762957658004	-0.5250870132529077	0.5359893726758457	0	0	0	PCNet
ACHE	-0.2157370059446691	3.817232116668362	-0.8235182278458641	0	0	0	Human-Only
ACIN1	0.2362092082263383	2.17371383291439	0.5134512233833471	0	0	0	PCNet
ACKR1	1.15347750748347	-0.353802596931314	-0.4081033376495108	0	0	0	PCNet
ACKR2	-0.3516821914737613	-0.9410681551578428	0.3309569111320798	0	0	0	PCNet
ACKR3	1.1894836640272166	-0.9942096520571768	-1.1825961397401947	0	0	0	Rat-Only
ACKR4	-0.2604306931017521	-0.6504830033893301	0.1694057394235925	0	0	0	PCNet
ACLY	-1.3841250559881042	-0.7432033537280439	1.0286863835893756	0	0	0	PCNet
ACMSD	-1.158907711278608	-0.4228996469700383	0.4901016619705784	0	1	2	PCNet
ACO1	-2.0027408885446145	0.5470349958894509	-1.0955693537326383	0	0	0	PCNet
ACO2	-1.4881295668654055	2.963531368063796	-4.410118651148819	0	0	0	Human-Only
ACOD1	-0.1455779606079932	1.5136153203823677	-0.2203490314862793	0	0	0	PCNet
ACOT1	-0.6757121459709415	0.3965980622856501	-0.2679861277549537	0	0	0	PCNet
ACOT11	0.2304252056580475	0.5827445365509472	0.1342790296808556	0	0	0	PCNet
ACOT12	-0.5435930356283268	-0.6246745001296927	0.3395687078051073	0	0	0	PCNet
ACOT13	0.4887136989729728	0.0063555119080585	0.003106025733454	0	0	0	PCNet
ACOT2	0.5206995131152015	-0.729425720906424	-0.3798116177296798	0	0	0	PCNet
ACOT4	-0.6250670513456247	0.1118369244511696	-0.069905576598256	0	0	0	PCNet
ACOT6	-0.6803646923427326	1.2034872159316827	-0.8188102094057711	0	0	0	PCNet
ACOT7	0.3242577377566302	0.3586436824757704	0.1162929891403005	0	0	0	PCNet
ACOT8	0.6642952479270672	0.1212674289974599	0.0805573768113456	0	0	0	PCNet
ACOT9	-0.5664164082497222	-1.0437586222554622	0.5912020098976174	0	0	0	PCNet
ACOX1	-0.4299541793890232	-0.9361243724310888	0.4024905863546731	0	1	2	PCNet
ACOX2	-0.1450554872803666	-0.9203690306587582	0.1335045782199648	0	0	0	PCNet
ACOX3	-0.3523457346559625	-0.6328760495602127	0.2229911766284564	0	0	0	PCNet
ACOXL	0.9763224192295664	-0.2885884378695785	-0.2817553618225084	0	0	0	PCNet
ACP2	0.634795973220706	3.8140470707980905	2.421141722216857	0	1	2	PCNet
ACP4	-0.543989058413926	0.5977983143525673	-0.3251957421460852	0	0	0	PCNet
ACP5	-1.8764136105788385	0.6186983193492637	-1.160933947269211	0	0	0	PCNet
ACP6	0.3129080489378717	1.9954119924318745	0.6243804733790891	0	0	0	PCNet
ACP7	0.1354409788137731	2.1085845029846464	0.2855887489957938	0	0	0	PCNet
ACPP	0.4783818737666176	0.4796304892194252	0.2294465321483881	0	0	0	PCNet
ACR	-0.3370108802454775	0.4315908179049229	-0.1454508014480036	0	0	0	PCNet
ACRBP	-0.6263646801436649	-1.0157179023448408	0.6362098190184204	0	0	0	PCNet
ACRV1	-0.2087556020923958	-0.3959386347690062	0.082654408092845	0	0	0	PCNet
ACSBG1	1.186215516983811	2.006577900140743	2.380233841183741	0	0	0	PCNet
ACSBG2	-0.5817901289704638	0.4809672916033562	-0.2798220226124913	0	0	0	PCNet
ACSF2	-0.5351568944516597	0.3718336452782282	-0.1989893388597367	0	0	0	PCNet
ACSF3	-0.2513047366675822	0.3504642421094908	-0.0880733240747293	0	0	0	PCNet
ACSL1	-0.4350604444804018	-1.0380029596945906	0.4515940290167012	0	0	0	PCNet
ACSL3	-0.1661278879390497	-1.1525140519044357	0.1914647252629602	0	0	0	PCNet
ACSL4	-1.1027262500389092	-1.8139446691803476	2.000284402823314	0	0	0	PCNet
ACSL5	-0.4796274127867492	-0.265918394357547	0.1275417514981167	0	0	0	PCNet
ACSL6	0.3754438265926735	-1.196053933280424	-0.4490510655220206	0	0	0	PCNet
ACSM1	0.0344040056990016	-0.5124790852164232	-0.0176313333684049	0	0	0	PCNet
ACSM2A	-0.6078370520081315	-1.1082294326206743	0.673622911272795	0	0	0	PCNet
ACSM2B	-0.7828172187780977	-0.9462315551627304	0.7407263543325628	0	0	0	PCNet
ACSM3	-0.2281336035916968	-0.9757125427890628	0.2225928184560865	0	0	0	PCNet
ACSM4	0.1402675035217407	0.0042288302576843	0.0005931674630625	0	0	0	PCNet
ACSM5	0.5148076820512256	0.0260961639704913	0.0134345056840773	0	1	2	PCNet
ACSM6	0.2972641600081874	0.2567609178880611	0.0763258185789256	0	0	0	PCNet
ACSS1	-1.3861384682908018	-0.1485529725535264	0.2059149898353906	0	1	2	PCNet
ACSS2	-1.561640148187519	-0.0327838629508837	0.0511965965967774	0	0	0	PCNet
ACSS3	0.703594462284546	-0.747946874917021	-0.526251279274648	0	0	0	PCNet
ACTA1	0.6476647810704113	1.9824430087430192	1.2839585172421148	0	0	0	PCNet
ACTA2	-1.0889456200815586	0.6675560268990881	-0.7269322116508091	0	0	0	PCNet
ACTB	-0.2342028445101107	0.6137607621313537	-0.1437445163398564	0	1	2	PCNet
ACTBL2	-0.8411588257343394	0.4547261642393176	-0.3824969263422248	0	0	0	PCNet
ACTC1	0.912135833730572	0.9597007465542732	0.8753774405901343	0	0	0	PCNet
ACTG1	-1.3841050882062405	0.5077398563292143	-0.702765318630371	0	0	0	PCNet
ACTG2	-0.1056618523662153	1.3977578442088716	-0.1476896829785171	0	0	0	PCNet
ACTL10	-1.5369934961273848	1.410116367184605	-2.167339685145514	0	0	0	PCNet
ACTL6A	-0.4905381905407533	0.1325953641678711	-0.0650430900129997	0	0	0	PCNet
ACTL6B	-0.058356249614793	1.289476873911917	-0.0752490343265067	0	0	0	PCNet
ACTL7A	0.9260163108298906	-0.8877050071696089	-0.8220293158444227	0	0	0	PCNet
ACTL7B	-0.0340268972248707	-0.9910364809571596	0.0337218964836267	0	0	0	PCNet
ACTL8	1.0464948383176111	0.6371273667346079	0.6667505006386588	0	0	0	PCNet
ACTL9	0.1863625425276824	-0.1875919295092461	-0.0349601089410168	0	0	0	PCNet
ACTN1	1.927664889241926	1.0708122410697334	2.064167160080586	0	0	0	PCNet
ACTN2	0.3152591199128737	0.7594686448905159	0.2394294165896068	0	0	0	PCNet
ACTN3	0.6126332222783867	-0.3727313652985593	-0.2283476173670788	0	0	0	PCNet
ACTN4	-0.8084420819440673	1.9336231817853755	-1.5632223507778804	0	0	0	PCNet
ACTR10	-0.5420120266721608	-0.4247193584216717	0.2302030002250301	0	0	0	PCNet
ACTR1A	-0.2541386884652738	0.3263567486269961	-0.0829398760678558	0	0	0	PCNet
